ID,Query,Subject,FreebasePredicate,PredicateList,tagme,tagme_rho,spot0.3,spot0.4,spot0.5,spot0.6
64,what is a book by laura ingalls wilder,http://dbpedia.org/resource/Laura_Ingalls_Wilder,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}, {'Predicate': 'http://dbpedia.org/ontology/notableWork', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Laura_Ingalls_Wilder,0.6389839053153992,http://dbpedia.org/resource/Laura_Ingalls_Wilder,http://dbpedia.org/resource/Laura_Ingalls_Wilder,http://dbpedia.org/resource/Laura_Ingalls_Wilder,http://dbpedia.org/resource/Laura_Ingalls_Wilder
119,What did jane austen write?,http://dbpedia.org/resource/Jane_Austen,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Jane_Austen,0.6427459120750427,http://dbpedia.org/resource/Jane_Austen,http://dbpedia.org/resource/Jane_Austen,http://dbpedia.org/resource/Jane_Austen,http://dbpedia.org/resource/Jane_Austen
192,What kind of book is home?,http://dbpedia.org/resource/Home_(Robinson_novel),genre,"[{'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Book,0.08753950148820877,,,,
208,what genre is the book in the line of fire: a memoir,http://dbpedia.org/resource/In_the_Line_of_Fire:_A_Memoir,genre,"[{'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/In_the_Line_of_Fire:_A_Memoir,0.5,http://dbpedia.org/resource/Memoir,http://dbpedia.org/resource/Memoir,http://dbpedia.org/resource/Memoir,http://dbpedia.org/resource/Memoir
211,what is the genre of the book the hydrofoil mystery,http://dbpedia.org/resource/The_Hydrofoil_Mystery,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/The_Hydrofoil_Mystery,0.5,http://dbpedia.org/resource/Hydrofoil,http://dbpedia.org/resource/Hydrofoil,http://dbpedia.org/resource/Hydrofoil,http://dbpedia.org/resource/Hydrofoil
266,Who wrote the book the city in the autumn stars,http://dbpedia.org/resource/The_City_in_the_Autumn_Stars,author_of_book,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/The_City_in_the_Autumn_Stars,0.5,http://dbpedia.org/resource/City,http://dbpedia.org/resource/City,http://dbpedia.org/resource/City,http://dbpedia.org/resource/City
491,what is one of terry carrs written works,http://dbpedia.org/resource/Terry_Carr,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Songwriter,0.1175110787153244,http://dbpedia.org/resource/Carr_(landform),http://dbpedia.org/resource/Carr_(landform),http://dbpedia.org/resource/Carr_(landform),http://dbpedia.org/resource/Carr_(landform)
555,what type of book is death du jour,http://dbpedia.org/resource/Death_du_Jour,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Death_du_Jour,0.5,,,,
697,what did michael baigent write,http://dbpedia.org/resource/Michael_Baigent,book_from_author,"[{'Predicate': 'http://dbpedia.org/ontology/author', 'Direction': 'backward', 'Constraint': 'http://dbpedia.org/ontology/WrittenWork'}]",http://dbpedia.org/resource/Michael_Baigent,0.5,http://dbpedia.org/resource/Michael_Baigent,http://dbpedia.org/resource/Michael_Baigent,http://dbpedia.org/resource/Michael_Baigent,http://dbpedia.org/resource/Michael_Baigent
699,whats the genre for the book titled shadows in flight,http://dbpedia.org/resource/Shadows_in_Flight,genre,"[{'Predicate': 'http://dbpedia.org/ontology/literaryGenre', 'Direction': 'forward', 'Constraint': None}, {'Predicate': 'http://purl.org/linguistics/gold/hypernym', 'Direction': 'forward', 'Constraint': None}]",http://dbpedia.org/resource/Shadows_in_Flight,0.5,,,,
