Query,pred
what is a book by laura ingalls wilder,book_from_author
What did jane austen write?,book_from_author
What kind of book is home?,genre
what genre is the book in the line of fire: a memoir,genre
what is the genre of the book the hydrofoil mystery,genre
Who wrote the book the city in the autumn stars,author_of_book
what is one of terry carrs written works,book_from_author
what type of book is death du jour,genre
what did michael baigent write,book_from_author
whats the genre for the book titled shadows in flight,genre
what type of genre is the book the runaway jury,genre
what language was wedge: the secret war between the fbi and cia originally in,language
Who is the publisher on the videogame calling all cars!,publisher
which book did jonathan tweet write,book_from_author
who published theme park world,publisher
What genre is the book portraits in moonlight?,genre
"What is the genre of the book ""False Memory""?",genre
who publishes the game pet pals: animal doctor,publisher
what kind of book is the fortunate pilgrim,genre
what genre is the book the planet on the table,genre
what is the genre of armageddon 2419 a.d.,genre
Who authored a place of execution,author_of_book
Name a romance novel,books_in_genre
What is the genre of the book primal fear?,genre
What language was escape from memory originally written in,language
what's a popular piece by ellis peters,book_from_author
what is one of marilynne robinson's written works,book_from_author
What is the name of a book that jane lindskold wrote,book_from_author
what is the subject of the wild?,genre
What company published the game viva piñata: trouble in paradise,publisher
what book is part of the literary genre fiction?,books_in_genre
What genre is aurealis,genre
what genre is dragon rider,genre
what work was  robert anthony salvatore the author of,book_from_author
what is a famous book and film of science fiction,books_in_genre
what books have algis budrys written?,book_from_author
what type of book is under the hawthorn tree,genre
which genre is getting rid of bradley a part of,genre
What company published spartacus legends?,publisher
what is the original language of the book the disintegration machine,language
What company published the video game bruce lee,publisher
What genre is powder and patch,genre
What is a novel within the literary genre fiction?,books_in_genre
what is a work by mercedes lackey,book_from_author
What type of book is ysabel,genre
who published g-loc: air battle,publisher
Who authored the book honor thyself?,author_of_book
who wrote the brighter buccaneer,author_of_book
Who is the author of the book lucas: a story of love and hate,author_of_book
what is a book in the genre autobiography,books_in_genre
Who wrote the tercentenary incident,author_of_book
Name a novel,books_in_genre
What genre is the book 99 coffins included in,genre
what is the book genre of fool moon?,genre
Who published monster hunter frontier online?,publisher
what company created the game jet set radio,publisher
what is the name of a science fiction book,books_in_genre
what is a book within the fiction genre,books_in_genre
what type of story is ole doc methuselah,genre
What is the name of a horror book?,books_in_genre
What is a written work done by gabriel garcía márquez,book_from_author
What is the title of a book written by author r. l. stine?,book_from_author
what work did  scooter libby write,book_from_author
who wrote housekeeping vs. the dirt,author_of_book
what book is nature,books_in_genre
Name a novel about a cat,books_in_genre
What did richard wright write?,book_from_author
what book is from the speculative fiction genre?,books_in_genre
what type of book is blood promise,genre
which company made superman returns?,publisher
which publisher worked on the computer videogame harbinger,publisher
who is the author of discoveries in australia,author_of_book
what are some fiction books?,books_in_genre
Who wrote the book american buffalo,author_of_book
Name an autobiography book,books_in_genre
what book is by philip jones griffiths?,book_from_author
what types of book is mort,genre
What did tibor fischer write?,book_from_author
what was the original language for the bok  the wonderful lips of thibong linh,language
what is the genre of the fatal eggs,genre
what is a book written by peter robinson,book_from_author
what is the name of a book written by author doris lessing?,book_from_author
what is the title of a suspense book,books_in_genre
What is the title of a book in the fiction literary genre?,books_in_genre
What is the name of a speculative fiction written work,books_in_genre
which book was written by the author vernor vinge,book_from_author
who was the author of empire falls,author_of_book
what book genre is magic in ithkar 3?,genre
who published the cvg avengers,publisher
What genre is eidolon i?,genre
what book is fiction,books_in_genre
Who was the author of at the gates of darkness,author_of_book
is random acts of senseless violence a dystopia or romance book,genre
which american male wrote bombay dreams?,author_of_book
What style of book is mountains beyond mountains?,genre
what are books of fiction,books_in_genre
what's a biopic science fiction written by Paolo Bacigalupi,books_in_genre
What kind of book is east?,genre
what was the original language the death of bunny munro was filmed in,language
what type of book is over my dead body,genre
Name a famous short story,books_in_genre
what book is a type of fiction?,books_in_genre
What is the name of a book of the humour literary genre?,books_in_genre
Name a novel.,books_in_genre
what is the publishing company of nfl sports talk football '93,publisher
which book was written by nathanael west,book_from_author
What is a book that leslie mcfarlane has written,book_from_author
what book is a type of fiction?,books_in_genre
What is the original language of the book eldest?,language
who is the author of the work warlock?,author_of_book
What company published the videogame choplifter,publisher
What genre of book is the trojan dog?,genre
what kind of book is a child of the revolution,genre
What are the names of speculative fiction books by Dave Duncan?,books_in_genre
Which language was tom clancys op-center: mirror image originally in,language
who is the publisher for braid (video game),publisher
what books did alison lurie write?,book_from_author
what is an example of a fiction book?,books_in_genre
what type of book is the name of the rose?,genre
What type of book is shadows over innsmouth,genre
what company released digimon racing,publisher
who wrote the book keziah dane,author_of_book
What is the genre of the book the miserable mill,genre
What is a popular fiction book,books_in_genre
what book is biography,books_in_genre
which fantasy book is released as part of a trilogy?,books_in_genre
What works have been written by chris pierson,book_from_author
what's a book by nevil shute,book_from_author
what book genre is the black death?,genre
what book genre is survivors quest?,genre
what book genre is goosebumps (original series)?,genre
what company produce the doom game,publisher
who published the videogame rockin' kats,publisher
Who published dead nation,publisher
What book is written by hal lindsey?,book_from_author
What type of fiction is the smell of telescopes,genre
Is pennterra a novella or a novel,genre
What is the genre of the three impostors?,genre
what kind of book is to reign in hell: the exile of khan noonien singh,genre
What fiction book was written by Iain Lawrence?,books_in_genre
What was written by france prešeren,book_from_author
what company published r4: ridge racer type 4,publisher
What is an example of fiction writing?,books_in_genre
who was the author of the book the whisperer,author_of_book
who was the author of war of the twins?,author_of_book
What genre of book does the the unseen queen belong to?,genre
what kind of book is the conan reader,genre
what is a speculative fiction book?,books_in_genre
who published crusaders of might and magic,publisher
Which genre is the book conan the barbarian,genre
whos the publisher of  point blank,publisher
what is something written by karin slaughter,book_from_author
what is a fictional book?,books_in_genre
what book did lisa scottoline write,book_from_author
who published red baron,publisher
what is a book from the gothic fiction genre?,books_in_genre
what type of book jenny villiers?,genre
what's a science fiction that was nominated for the hugo award,books_in_genre
seetee ship is considered what genre,genre
What is the name of a book in the crime fiction genre,books_in_genre
what is the genre of the book after the quake,genre
what works have been written by ramsey campbell,book_from_author
what is a book in the fiction genre,books_in_genre
who published the exiled realm of arborea,publisher
what genre is the book honour & other peoples children,genre
what is a title of a fiction book,books_in_genre
which genre is when the people fell,genre
what is the title of a book that is a historical fiction,books_in_genre
what language is the eye of the sibyl in?,language
What is the genre of the book all about the future?,genre
